row__restname,row__la,row__lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공항 어르신사랑방,37.5603833,126.8090426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신정경로회관,35.9275879,127.110023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대명아파트경로당(관리사무소 건물),35.9038816,127.0704138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상서신경로당,35.911054,127.070613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG동수원자이(아)경로당,37.2368068,127.0566575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망포벽산e빌리지(아)경로당,37.2362659,127.0471063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영통뜨란채(아)경로당,37.2427493,127.0653008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그대가프리미어(아)경로당,37.2448629,127.0552096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
센트럴하이츠(아)경로당,37.2422837,127.0596483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백련산힐스테이트4차아파트경로당(406동),37.589069,126.922514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
응암노인복지관,37.5946,126.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼성타운아파트경로당,37.608997,126.921642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대조노인복지관,37.613451,126.921923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
응암SH빌경로당,37.597955,126.926832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
응암푸르지오아파트경로당(102동),37.597552,126.925991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥월1리 마을회관,37.142295,128.465218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이프시티아파트경로당,37.622847,126.910726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경향파크아파트경로당,37.6105,126.9055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거북뫼경로당(송산마을회관),37.6913793,126.7024802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광교호반마을21단지경로당,37.2769671,127.0679688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라이프시티아파트경로당,37.602342,126.905326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
