무더위쉼터,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주공(아)1단지 경로당,36.3400447,127.4097562,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마근경로당,35.4270333,128.3990971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대곡경로당,35.4461636,128.3975066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월상경로당,35.4471057,128.3866034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
도야회관,35.5551283,128.5062626,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조산회관,35.5373686,128.4843136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
직신회관,35.5374031,128.4712051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
직교회관,35.5406282,128.4865282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대동회관,35.5426468,128.5002209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남지읍사무소,35.3890913,128.4772788,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청단경로당,35.4677411,128.4294899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시남경로당,35.4633256,128.4217283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수개경로당,35.4545967,128.4268378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
임천무더위쉼터,35.4517833,128.7972886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
망미2리 마을회관,37.4614533,127.6544629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신촌경로당,35.3958489,126.5437764,,,,,,,,,,,,,,,,,,,,,,,,,,,,
복흥경로당,35.4143287,126.5407348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송산경로당,35.3725736,126.5653967,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상건경로당,35.3792199,126.5739759,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하군경로당,35.3527686,126.5493128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군유경로당,35.3550238,126.5537098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
수원경로당,35.3589768,126.5350147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동면행정복지센터,37.9103221,127.781285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천강동농협 본점,37.9102456,127.781955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천강동농협 만천지점,37.8818415,127.7618249,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동면보건지소,37.9099696,127.7810883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남면행정복지센터,37.7319548,127.59961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관천리마을회관,37.7232875,127.511476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박암리새마을회관,37.7282633,127.5443703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가정보건진료소,37.7363298,127.574959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남면보건지소,37.7319548,127.59961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
