무더위쉼터명,위도,경도,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동산리 경로당,36.5860205,126.7939675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구례리 경로당,36.5674945,126.7666922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이목경로당,35.542449,127.171982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가목경로당,35.532513,127.175481,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하두경로당,35.525708,127.198242,,,,,,,,,,,,,,,,,,,,,,,,,,,,
관산경로당,37.3349882,126.8008976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
선녀골경로당,37.3340347,126.8040009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영산홍경로당,37.3334833,126.8040475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
원곡동행정복지센터,37.3332787,126.7907986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신길휴먼시아2단지경로당,37.3346803,126.7777614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신길휴먼시아7단지경로당,37.3344781,126.7894027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신길휴먼시아4단지경로당,37.3367383,126.7857942,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새터경로당,35.8746692,126.9961641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마전경로당,35.8897396,126.9944471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앞돌수경로당,35.8856928,126.9702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전포경로당,35.7411885,126.8238817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주촌경로당,35.7391698,126.8156251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하방경로당,35.7488622,126.8390674,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평경로당,35.732605,126.845515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서일경로당,35.7352645,126.867985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정경로당,35.8040823,127.1215056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숭효당경로당,35.8056164,127.118132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송석리 마을회관 및 경로당,36.6700019,126.765677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남정리 경로당,36.345554,129.362405,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남호리 경로당,36.332129,129.378684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노하할머니경로당,35.6507092,127.5161487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
준비할머니경로당,35.6486091,127.5213199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양선경로당,35.662719,127.5221146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성원아파트경로당,35.9842645,126.6938999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을금고 길음중앙(본점),37.6102688,127.0197201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을금고 성북제일(본점),37.6046906,127.023038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음2동 주민센터,37.6067637,127.0272712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음종합사회복지관,37.60683,127.02748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
득자경로당,35.8761454,127.0018773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소룡동행정복지센터,35.9743157,126.6792744,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금강골드빌경로당,35.9766621,126.6845728,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부흥2리 경로당,36.290167,129.373501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부흥3리 경로당,36.291501,129.371518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삽곡경로당,35.5832168,127.4149571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나박소 경로당,36.6396237,126.6041732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음2동(전 :길음3동)경로당,37.6099904,127.0231426,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음동부센트레빌(아)경로당,37.609941,127.0237404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길음동부임대(아)송산경로당,37.6094089,127.0256459,,,,,,,,,,,,,,,,,,,,,,,,,,,,
둔2리 마을회관 및 경로당,36.6623665,126.6438333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대치1리 마을회관 및 경로당,36.6855428,126.6249058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한강아파트경로당,35.8017974,127.1133197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암1동현대아이파크경로당,37.6027536,127.0294066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암2동SK(아)제2경로당,37.6001971,127.0371467,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암래미안(아)경로당,37.6011327,127.0297034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암선경(아)경로당,37.5944876,127.0339174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중앙경로당,37.6000938,127.0357234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암동제1경로당,37.6018163,127.031122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
종암1동SH-VILLE(아)경로당,37.5973771,127.0301617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥계리 할머니 경로당,36.7059364,126.6454439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
읍내1리 마을회관 및 경로당,36.7054424,126.6672016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
읍내2리 마을회관 및 경로당,36.7057089,126.6716938,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상가리 마을회관 및 경로당,36.7171841,126.6294608,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사동리 마을회관 및 경로당,36.6977567,126.6551806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평1리 마을회관 및 경로당,36.6993159,126.666074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부성경로당,35.7573161,126.814112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용얌경로당,35.5753876,127.3810163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월평경로당,35.5994504,127.4197216,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동고할머니경로당,35.6010099,127.4108029,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양신경로당,35.5725418,127.4193327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산서농협,35.5849327,127.3966475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마평경로당,35.5666834,127.427177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월곡경로당,35.5666616,127.397457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성재경로당,35.577313,127.4338927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
왕곡경로당,35.5653791,127.4084722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하월경로당,35.5652739,127.3917573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신흥경로당,35.6003016,127.4166696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산서우체국,35.5835995,127.3969002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산서면사무소,35.5841975,127.3964652,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산서경로당,35.5833432,127.3963269,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방화경로당,35.5759824,127.4296007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신덕경로당,35.5758473,127.389697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한미(아)어르신사랑방,37.5738775,126.8159417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡엠밸리2단지(아)어르신사랑방,37.569091,126.8206957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡우림필유(아)어르신사랑방,37.5718432,126.8214668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡푸르지오(아)어르신사랑방,37.5701018,126.821683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡현대(아)어르신사랑방,37.5730126,126.8199021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월드메르디앙(아)어르신사랑방,37.574597,126.810172,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마곡청구(아)어르신사랑방,37.5729568,126.8212572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매일2리,36.3772176,129.3035561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥기1리,36.3864868,129.3064707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥기1리,36.3864868,129.3064707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매일1리,36.374817,129.302666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당가경로당,35.5609983,127.3654428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산2리,36.3794168,129.2521471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉산리,36.3702061,129.247693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대지1리,36.4005018,129.3038537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대지2리,36.405182,129.2991537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용평리,36.3927029,129.2901061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새마을금고 한양(본점),37.6054035,127.0116365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정릉종합사회복지관,37.6112518,127.0011384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
정릉3동 주민센터,37.6089311,127.0041665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군산남성교회,35.9561772,126.7055668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
새남감리교회,35.9569327,126.7056292,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대덕1리 경로당,36.5928102,126.8710295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여래미리 경로당,36.5790839,126.8774076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금진1리,36.3773161,129.4020246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금진2리 경로당,36.3682495,129.3949548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강구리경노당,36.359731,129.3847028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강구부인경로당,36.3597228,129.3847185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강구2리,36.3669439,129.3853899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사창할머니경로당,35.5640041,127.3779339,,,,,,,,,,,,,,,,,,,,,,,,,,,,
사창경로당,35.5639648,127.3779657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회1리 경로당,36.2747338,129.3516267,,,,,,,,,,,,,,,,,,,,,,,,,,,,
회2리 경로당,36.2752833,129.339283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양성리 경로당,36.28292,129.366617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동신진주경로당,35.9747329,126.6948187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동신진주3차경로당,35.973447,126.6965509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
