위치명,위도,경도
와부중학교 운동장,37.587032599,127.2198145
덕소중학교 운동장,37.580673701,127.22632329
공근중학교 다목적체육관,37.540212056,127.96191086
서원중학교 체육관,37.487014588,127.84662876
강림중학교 다목적실,37.36416186,128.12680807
강림초등학교 다목적실,37.358408222,128.12001714
성북초등학교 운동장,37.490234325,127.99187098
횡성고등학교 운동장,37.485889856,127.97868907
횡성초등학교 운동장,37.487452963,127.97967731
횡성여자고등학교 운동장,37.475821292,127.982061
성남초등학교 운동장,37.464800021,127.97255448
창림초등학교 운동장,37.49569377,128.03600761
정금초등학교 운동장,37.505161393,128.10477639
우천초등학교 운동장,37.461184,128.06195661
우천중학교 운동장,37.468463,128.04954382
안흥고등학교 운동장,37.411809202,128.15318811
안흥초덕천분교 운동장,37.4645668,128.15405204
현천고등학교 운동장,37.485961063,128.17053569
둔내고등학교 운동장,37.51131674,128.21311801
둔내초등학교 운동장,37.513425944,128.21792511
갑천고등학교 운동장,37.560447,128.11424415
갑천초등학교 운동장,37.557552102,128.10765902
갑천초금성분교 운동장,37.538330676,128.162236
춘당초등학교 운동장,37.630434704,128.14545216
청일중학교 운동장,37.582289,128.146694
한천초등학교 운동장 대피소,36.90696221,127.5078976
초평면행정복지센터 대피소,36.84587593,127.5268313
문상초등학교 운동장 대피소,36.83792129,127.4718537
문백초등학교 운동장 대피소,36.78627677,127.4331505
문백면행정복지센터 대피소,36.78443434,127.4372449
백곡면행정복지센터 대피소,36.88390488,127.3773318
백곡초등학교 운동장 대피소,36.88596914,127.3602462
이월면행정복지센터 대피소,36.92563743,127.4280116
이월중학교 운동장 대피소,36.92704633,127.4281228
이월초등학교 운동장 대피소,36.93107665,127.4319212
광혜원화랑공원 대피소,36.9941895,127.4379299
광혜원중학교 운동장 대피소,36.9921432,127.4401834
만승초등학교 운동장 대피소,36.9923163,127.4420986
성북초등학교 체육관,37.490234325,127.99187098
횡성고등학교 체육관,37.485889856,127.97868907
정금초등학교 다목적실,37.505161393,128.10477639
안흥중고등학교 다목적실,37.412591799,128.15276185
현천고등학교 체육관,37.485961063,128.17053569
갑천중고등학교 다목적실,37.56044732,128.11424415
갑천초등학교 다목적실,37.557552102,128.10765902
